index;title;description;content;url;image;publishedAt;source;Texto
0;Japão liberará água contaminada de Fukushima no mar após tratamento;A primeira liberação de água acontecerá em cerca de dois anos, o que dá à operadora da usina, Tokyo Electric Power, tempo para começar a filtrar a água para retirar isótopos prejudiciais.;"O Japão liberará mais de 1 milhão de toneladas de água contaminada da usina nuclear destruída de Fukushima no mar, informou o governo nesta terça-feira (13), uma medida que a China classificou de ""extremamente irresponsável"", enquanto a Coreia do Sul... [1323 chars]";https://agenciabrasil.ebc.com.br/internacional/noticia/2021-04/japao-liberara-agua-contaminada-de-fukushima-no-mar-apos-tratamento;https://imagens.ebc.com.br/q0jjkDRUK5Dc0ziyoXs2ahjR9vQ=/1600x800/https://agenciabrasil.ebc.com.br/sites/default/files/thumbnails/image/2021-04-13t132419z_1_lynxmpeh3c0um_rtroptp_4_japao-fukushima-agua-mar.jpg?itok=0fysP5ZQ;2021-04-13T03:00:00Z;EBC;"Ex.Saúde, Presidente, Governo 
Ex.Saúde, Presidente, Governo 
 O Japão liberará mais de 1 milhão de toneladas de água contaminada da usina nuclear destruída de Fukushima no mar, informou o governo nesta terça-feira (13), uma medida que a China classificou de ""extremamente irresponsável"", enquanto a Coreia do Sul convocou o embaixador em Tóquio a Seul para protestar.
A primeira liberação de água acontecerá em cerca de dois anos, o que dá à operadora da usina, Tokyo Electric Power, tempo para começar a filtrar a água para retirar isótopos prejudiciais, construir infraestrutura e obter aprovação regulatória.
O Japão argumenta que a liberação de água é necessária para levar adiante a desativação complexa da usina, danificada em 2011 por um terremoto e um tsunami, e diz que água filtrada de maneira semelhante é liberada por usinas nucleares de todo o mundo rotineiramente.
Quase 1,3 milhão de toneladas de água contaminada, o suficiente para encher cerca de 500 piscinas olímpicas, está armazenada em tanques gigantescos na usina a um custo anual de aproximadamente  US$ 912,66 milhões e o espaço está acabando.
""Liberar a água tratada é uma tarefa inevitável para desativar a usina nuclear de Fukushima Dai-ichi e reconstruir a área de Fukushima"", disse o primeiro-ministro japonês, Yoshihide Suga, sobre o processo que exigirá décadas.
A decisão vem cerca de três meses antes da Olimpíada de Tóquio, e alguns eventos acontecerão a até 60 quilômetros da usina arruinada. Em 2013, o então premiê japonês Shinzo Abe garantiu ao Comitê Olímpico Internacional (COI) que Fukushima ""nunca causará nenhum dano a Tóquio"".
Para registrar sua opinião, copie o link ou o título do conteúdo e clique na barra de manifestação.
Você será direcionado para o ""Fale com a Ouvidoria"" da EBC e poderá nos ajudar a melhorar nossos serviços, sugerindo, denunciando, reclamando, solicitando e, também, elogiando.
Índice é inferior ao 2,99% observado em março, mas superior ao 1,13% de abril de 2020, segundo a  Fundação Getulio Vargas .
Daunte Wright, de 20 anos, foi morto a tiro no último domingo (11) em Minneapolis, ao ser parado pela polícia por ter o registro de um veículo vencido.
Clínicas do sistema de saúde privado, onde 70% dos argentinos são atendidos, estão próximas da saturação. Ocupação de leitos de UTI está em 70%.
Atual líder do ranking, Ítalo Ferreira (foto) pega na estreia o tricampeão Mick Fanning. Já Medina enfrenta o brasileiro Jadson André e o australiano Dylan Moffat.
Instituto de Energia e Meio Ambiente sugere, para diminuir as aglomerações e evitar a transmissão do novo coronavírus, frota de 13 mil ônibus em dias úteis.
Conheça nossos aplicativos nas lojas online da iTunes e Google
"
1;Coluna - Tokyo Game Show volta a adotar formato digital;A capital japonesa, que segue confirmando a realização dos Jogos Olímpicos de Tóquio a partir de 23 de julho, deixará de sediar por mais um ano a maior;A capital japonesa, que segue confirmando a realização dos Jogos Olímpicos de Tóquio a partir de 23 de julho, deixará de sediar por mais um ano a maior feira de games da Ásia. Melhor dizendo, pela segunda vez consecutiva a Tokyo Game Show (TGS) acont... [3963 chars];https://www.mixvale.com.br/2021/04/01/coluna-tokyo-game-show-volta-a-adotar-formato-digital/;https://www.mixvale.com.br/wp-content/uploads/2021/03/portalmixvaleoficialnoticias-1000x600.jpg;2021-04-01T11:00:00Z;Portal Mix Vale;NA
2;15 animes para ficar de olho na temporada de primavera 2021;Tokyo Revengers, My Hero Academia, Megalo Box e mais animes que devem ser sucesso na próxima temporada do Japão;"My Hero Academia - temporada 5
My Hero Academia está de volta para mais uma etapa da jornada de Izuku Midoriya em seu caminho para se tornar o maior herói de todos os tempos. Sabe o que isso significa, né? Mais chances para vermos Deku se quebrar int... [759 chars]";https://www.omelete.com.br/anime-manga/animes-lancamentos-primavera-2021-bento;https://cdn.ome.lt/zUgTDf0J02CFd4I1LxiSvYQcoPM=/1200x630/smart/extras/conteudos/2021-03-31-TEMPORADA-PRIMAVERA-BENTO-DQ.png;2021-03-31T03:00:00Z;Omelete;"Séries e TV
Séries e TV
Em abril começa a temporada de primavera 2021 para os animes, e muitas novas séries estão chegando para fazer companhia a diversas continuações. Tem animes esperados como Tokyo Revengers, continuações como a nova temporada de My Hero Academia e até um novo Megalo Box que chegou do nada.
Como é muita coisa chegando, fizemos um apanhado de 15 animes que merecem a sua atenção nesses próximos meses. Alguns ainda não foram confirmados oficialmente no Brasil, e outros podem chegar um tempo depois, por isso estamos usando como parâmetro a data de estreia no Japão.
Vamos à lista?
My Hero Academia está de volta para mais uma etapa da jornada de Izuku Midoriya em seu caminho para se tornar o maior herói de todos os tempos. Sabe o que isso significa, né? Mais chances para vermos Deku se quebrar inteiro!
Após todos os eventos envolvendo o vilão Overhaul na temporada passada, o palco volta a ser a escola U.A. e um novo torneio entre os alunos. Só que desta vez Deku e os demais alunos da turma 1-A precisarão se integrar e formar parcerias com os alunos da turma 1-B, então teremos algumas combinações bem inusitadas.
Ainda não foi confirmado quais arcos serão adaptados na nova temporada, mas há grandes chances de que seja introduzido o doutor Garaki, o responsável pela criação dos Nomus que tanto causaram dor de cabeça nas primeiras temporadas.
My Hero Academia promete manter o sucesso (o anime ganhou até uma coleção de roupas com Pharrell Williams) e será disponibilizada no Brasil pela Funimation. Já o mangá é publicado por aqui pela Editora JBC.
Tokyo Revengers é uma das novidades da temporada que mais vale a pena ficar de olho, pois o mangá já é bastante comentado no Japão e tem tudo para explodir com a exibição do anime.
Na trama, vemos o protagonista Takemichi Hanagaki, um jovem adulto que não está em uma situação econômica muito boa e, pra piorar, descobre que sua namorada da época de escola foi assassinada por uma gangue. Logo após saber da trágica notícia, afinal a garota era o amor de sua vida, Takemichi é empurrado na frente de um trem e ""morre"".
Indo contra qualquer clichê, ele não será transportado para nenhum mundo medieval, e sim mandado ao passado. Isso mesmo, Takemichi volta no tempo e está agora com 12 anos, e determinado a não deixar que sua namorada morra desta vez. Para isso, ele precisará pintar o cabelo de loiro e entrar para uma gangue.
Tokyo Revengers será disponibilizado oficialmente no Brasil pela Crunchyroll.
Se o anime original de Fruits Basket foi encerrado sem um final oficial, além de ter desagradado a autora Natsuki Takaya, o remake finalmente mostrará o desfecho da história de Tohru Honda e de sua relação com a misteriosa família Sohma.
A animação continua no mesmo nível das temporadas anteriores e o pôster promocional do arco final mostra Tohru de costas para Akito, o patriarca da família amaldiçoada. Prepare os lenços, porque as coisas ficarão dramáticas.
A temporada final de Fruits Basket será disponibilizada no Brasil pela Funimation. Já o mangá é publicado pela Editora JBC.
Edens Zero é o mais recente mangá de Hiro Mashima, o autor de Fairy Tail, e chegou a hora dessa história iniciada em 2018 ganhar uma animação.
O protagonista da vez é Shiki Grandell, um garoto órfão vivendo em um planeta ocupado por robôs animatrônicos. Num belo dia, ele recebe a visita de Rebecca e seu gato Happy, que foram até essa localidade para gravar um vídeo (ela é uma espécie de YouTuber intergaláctica). Os dois se unem e começam a se aventurar pelo universo, resolvendo problemas de outras pessoas e conhecendo novas localidades.
O anime será exclusivo da Netflix e não se sabe ainda a data em que estreará no Brasil. Enquanto o anúncio não vem, é possível acompanhar o mangá de duas formas: a Editora JBC tem lançado tanto os volumes encadernados quanto os capítulos individuais simultaneamente à publicação no Japão.
Aqui temos mais um remake que deve dar o que falar. Shaman King foi um dos sucessos da Shonen Jump no começo dos anos 2000 e acabou não tendo um desfecho nem em anime e nem no mangá.
Em Shaman King, acompanhamos as aventuras e treinamentos de Yoh Asakura, um garoto com poderes mediúnicos cujo objetivo é ser o maior xamã do mundo e vencer o torneio Shaman Fight. E, bem... é só isso mesmo, pois a história inteira é centrada nessa competição entre xamãs. O poder de Yoh é incorporar espíritos, como o samurai Amidamaru, e pegar emprestao o poder para lutar.
Shaman King deve ser disponibilizado no Brasil pela Netflix, mas ainda sem data prevista. O mangá foi publicado no Brasil no começo dos anos 2000 pela JBC, e será republicado ainda este ano pela mesma editora.
Megalo Box, a releitura do clássico Ashita no Joe, fez bastante barulho quando estreou em 2018 e agora todo mundo foi pego de surpresa com o anúncio de uma segunda temporada.
Na série original acompanhamos o protagonista Junk Dog em uma série de lutas nas quais os participantes vestiam exoesqueletos. Não foram dadas muitas informações sobre a sequência, sabemos apenas que ela é ambientada sete anos após o primeiro anime.
Não se sabe ainda se a segunda temporada será disponibilizada no Brasil, mas a primeira pode ser vista na Netflix e na Crunchyroll.
Essa não seria uma temporada de animes no Japão se não tivéssemos uma série isekai (já falamos sobre esse gênero por aqui, lembra?). Em I’ve Been Killing Slimes for 300 Years and Maxed Out My Level, uma garota morre de estafa no mundo real e reencarna como uma bruxa em um mundo medieval de RPG.
Só que em vez de partir para suas aventuras, ela passou 300 anos matando vários dos inimigos mais fáceis do jogo, e isso fez com que ela chegasse ao nível 99 e se tornasse a pessoa mais forte de lá.
O anime será disponibilizado oficialmente no Brasil pela Crunchyroll.
Em meados de 2007, a Square Enix lançou um RPG para Nintendo DS intitulado The World Ends With You. Na história, um adolescente acorda no bairro de Shibuya no Japão e participa de um jogo mortal chamado Reaper's Game.
O jogo foi bastante comentado, mas uma continuação nunca veio. De tempos em tempos a Square Enix foi relançando o mesmo jogo em várias plataformas, como celulares e Nintendo Switch. Agora, The World Ends with You ganhará uma animação e mais pessoas poderão acompanhar essa trama bem doida.
A famosa história do professor Moriarty ganhará uma continuação a ser lançada nesta temporada no Japão. A trama dará sequência à história protagonizada por William James Moriarty, o antagonista do detetive Sherlock Holmes.
A primeira temporada não foi disponibilizada oficialmente no Brasil ainda, e o mangá é publicado por aqui pela editora Panini.
Anunciado no final de 2020, o anime Eden será lançado pela Netflix agora em abril e chama a atenção pelo visual totalmente feito em computação gráfica. Na trama futurista, o mundo é habitado apenas por robôs, até que um dia encontram uma garotinha humana.
Esse é o primeiro anime feito originalmente pela Netflix do Japão, e tem uma equipe de renome por trás da história. A direção é de Yasuhiro Irie, de Fullmetal Alchemist, e a arte conceitual foi feita por Toshihiro Kawamoto, de Cowboy Bebop.
A série será disponibilizada oficialmente no Brasil pela Netflix.
SSSS.Dynazenon, previsto para chegar no comecinho de abril, nada mais é que a continuação oficial do anime SSSS.Gridman, de 2018. O anime foi feito pela Tsuburaya Productions (a empresa por trás do Ultraman) e é uma espécie de releitura da série live-action Gridman, lançada no Japão nos anos 1990.
Gridman passou por um processo de ""powerrangerização"" e foi adaptada para o ocidente como Super-Human Samurai Syber Squad - daí o SSSS do título - e foi exibida no final dos anos 1990 pela Rede Manchete.
Ainda não sabemos quem trará o anime ao Brasil, mas a série original SSSS.Gridman pode ser assistida na Funimation.
O Japão não oferece apenas ótimos animes de ação e suspense, sempre há também alguma comédia muito divertida surgindo a cada temporada. Gokushufudou: Tatsu Imortal é uma dessas séries que parte de uma premissa única: e se um membro da Yakuza virasse um dono de casa?
A cada episódio veremos o mal-encarado protagonista fazendo as coisas mais mundanas possíveis, como ir ao mercado, lavar roupa e saber organizar uma residência. A animação mais ""parada"" pode incomodar o público acostumado com outros animes, mas faz parte da experiência.
Gokushufudou: Tatsu Imortal será disponibilizado no Brasil pela Netflix.
Enquanto as pessoas estão na internet degladiando-se para decidir quem venceria uma batalha entre Godzilla e o King Kong (o lagartão leva, óbvio), o Japão ganhará um anime do monstro oriental para chamar de seu.
A trama é protagonizada por Mei, uma pesquisadora, e Yun, um engenheiro, e os dois vão ter que enfrentar a aparição do Godzilla.
O anime será lançado oficialmente no Brasil pela Netflix, mas ainda sem data prevista.
Talvez você, otaku mais novo, não faça ideia do que seja Hetalia, mas em meados dos anos 2000 você via esses personagens em todos os lugares possíveis. Este novo anime é uma adaptação do mangá homônimo, publicado na Shonen Jump+, e entrega tudo o que já encontramos na série original.
Hetalia é uma série de humor na qual cada personagem representa uma versão personificada de um país, e suas relações de amizade ou inimizade refletem os laços formados durante a Segunda Guerra Mundial. Ou seja, o protagonista Itália vive grudado com o Alemanha e o Japão, assim como na aliança do Eixo.
O mangá original foi lançado no Brasil pela NewPOP Editora.
Embora o mangá de To Your Eternity não seja tão popular assim, ele tem todos os elementos que podem levar a uma boa repercussão. Pra começar, a história é de Yoshitoki Oima, de A Voz do Silêncio, e o anime trará uma equipe com grandes animes no currículo, como o diretor Masahiko Murata, que trabalhou em Naruto Shippuden.
To Your Eternity conta a história de um jovem que encontra um lobo numa região isolada do norte do globo. Os dois ficam amigos, mas ambos guardam alguns segredos sobre o passado.
O anime será disponibilizado oficialmente no Brasil pela Crunchyroll. Já o mangá será lançado por aqui pela NewPOP Editora.
Empresas da Omelete Company:

        Ao continuar navegando, declaro que estou ciente e concordo com a Política de Privacidade bem como manifesto o consentimento quanto ao fornecimento e tratamento dos dados para as finalidades ali constantes.
    



"
3;Tokyo Game Show 2021 será online, mas com um componente presencial;Organizadores do evento dizem que tradicional feira de games seguirá mesmo modelo de 2020, mas imprensa deve ter entrevistas presenciais;A Tokyo Game Show (TGS) 2021 será conduzida de forma inteiramente online, segundo informa a organização por trás de uma das mais tradicionais feiras do mercado mundial de jogos. O evento vem sendo realizado exclusivamente por streaming desde o ano pa... [2172 chars];https://olhardigital.com.br/2021/03/30/games-e-consoles/tokyo-game-show-2021-sera-totalmente-online-mas-com-um-componente-presencial/;https://img.olhardigital.com.br/wp-content/uploads/2021/03/tokyo-game-show-2020-poster.jpg;2021-03-30T16:43:19Z;Olhar Digital;"O futuro passa primeiro aqui
O futuro passa primeiro aqui
A Tokyo Game Show (TGS) 2021 será conduzida de forma inteiramente online, segundo informa a organização por trás de uma das mais tradicionais feiras do mercado mundial de jogos. O evento vem sendo realizado exclusivamente por streaming desde o ano passado, devido à pandemia da Covid-19.
Entretanto, para a edição deste ano, a TGS contará com um elemento presencial: membros credenciados da imprensa poderão entrevistar expositores e jogar as demos dos títulos exibidos presencialmente, em um evento destinado à mídia e influenciadores no Makuhari Messe, em Chiba , Japão. O local é o mesmo onde a feira vinha sendo realizada antes da pandemia.
A Tokyo Game Show 2021 será realizada entre os dias 30 de setembro e 3 de outubro, com um “novo sistema de agendamento” que permitirá reuniões virtuais privadas entre expositores e visitantes do mercado. Todas as apresentações serão transmitidas em japonês – o idioma da feira – com tradução simultânea em inglês. Há, ainda, planos de permitir que os consumidores que atenderem ao evento virtual possam testar os jogos e demos presentes, mas o comunicado não detalha como isso deve funcionar.
Em 2021, a TGS completa 25 anos de vida, em um período onde as transmissões online tomaram o lugar de eventos presenciais devido à Covid-19: além dela, a E3 2021 (junho) também será feita inteiramente pela internet, e a Game Developers Conference – a primeira a ser afetada pela pandemia no ano passado -, que inicialmente tinha planos de fazer um “evento híbrido” misturando elementos online e presenciais, abandonou a ideia e agora também deve ser veiculada exclusivamente por streaming. O mesmo vale para o PAX East, que apresenta não apenas games tradicionais, mas também jogos de tabuleiro e arcades, em julho.
A exceção à nova regra é a Gamescom: a organização do evento tradicionalmente realizado em Colônia, na Alemanha, ainda tem o desejo de uma realização híbrida. Conforme ela anunciou recentemente, a ideia é oferecer todas as medidas de segurança e proteção – além da esperança de que a vacina tenha ajudado a reduzir o impacto da Covid-19 até agosto, quando o evento for realizado -, como redução no volume de visitantes simultâneos, testes realizados no local e outros métodos.
Fonte: GamesIndustry
Etiquetas: consoleseventostgs 2021tokyo game showvideogames
2005 - 2021 Olhar Digital. Parceiro UOL Tecnologia.
"
4;Crunchyroll anuncia 23 animes para a temporada de primavera;Além de Boku no Hero e Tokyo Revengers, outros 23 animes, como The Slime Diaries e Boruto, serão exibidos durante a temporada de primavera de 2021 na Crunchyroll;A Crunchyroll anunciou a lista inicial de animes que serão exibidos em simulcast na temporada de primavera de 2021, que começa já nos últimos dias de março. Entre eles, estão as aguardadas novas temporadas de My Hero Academia e Zombie Land Saga, além... [1934 chars];https://br.ign.com/crunchyroll/88120/news/crunchyroll-anuncia-23-animes-para-a-temporada-de-primavera;https://sm.ign.com/t/ign_br/screenshot/default/my-hero-academia-one-for-all-100-e1578917325129_jhmu.1200.jpg;2021-03-24T17:25:12Z;IGN Brasil;"Brasil
Brasil
 
A Crunchyroll anunciou a lista inicial de animes que serão exibidos em simulcast na temporada de primavera de 2021, que começa já nos últimos dias de março. Entre eles, estão as aguardadas novas temporadas de My Hero Academia e Zombie Land Saga, além de produções inéditas como Tokyo Revengers. Confira os títulos e algumas sinopses abaixo:
Vale lembrar que, segundo a própria Crunchyroll, novas obras ainda serão anunciadas ao decorrer das semanas. Qual anime você gostaria de ver na lista?
Para mais sobre desenhos japoneses, veja o ranking de aberturas de Attack on Titan e também confira esse cosplay hilário de Gojo, de Jujutsu Kaizen.
Inscreva-se no canal do IGN Brasil no Youtube e visite as nossas páginas no Facebook, Twitter, Instagram e Twitch! | Siga Matheus Bianezzi no Twitter.
 
"
5;Pritkzer, o Nobel de arquitetura, premia Lacaton & Vassal, do Palais de Tokyo;Na contramão dos 'starchitects', dupla francesa usa materiais banais para atualizar estruturas obsoletas do século 20;"São Paulo
Museus com paredes não parecem boas para pendurar quadros. Casas com aparência de estufas agrícolas. Centros educacionais semelhantes a galpões industriais. Fachadas que não esclarecem o uso dos edifícios. Formas externas que não indicam as... [6759 chars]";https://www1.folha.uol.com.br/ilustrada/2021/03/pritkzer-o-nobel-de-arquitetura-premia-lacaton-vassal-do-palais-de-tokyo.shtml;https://f.i.uol.com.br/fotografia/2021/03/16/16159027836050b83fb407c_1615902783_3x2_lg.jpg;2021-03-16T13:58:00Z;Folha de S.Paulo;"
      Acesse seus artigos salvos em 
Minha Folha,  sua área personalizada
    

      Acesse seus artigos salvos em 
Minha Folha,  sua área personalizada
    

Recurso exclusivo para assinantes

assine
ou
faça login

Assinantes podem liberar 5 acessos por dia para conteúdos da Folha
Assinantes podem liberar 5 acessos por dia para conteúdos da Folha
Assinantes podem liberar 5 acessos por dia para conteúdos da Folha
Gostaria de receber as principais notícias do Brasil e do mundo?
Recurso exclusivo para assinantes

assine
ou
faça login

Assinantes podem liberar 5 acessos por dia para conteúdos da Folha
Assinantes podem liberar 5 acessos por dia para conteúdos da Folha
Assinantes podem liberar 5 acessos por dia para conteúdos da Folha
O escritório francês Lacaton & Vassal foi anunciado como o vencedor do prêmio Pritzker de 2021, o Nobel da arquitetura.
O trabalho da dupla Anne Lacaton e Jean Philippe Vassal “reflete o espírito democrático da arquitetura”, afirmou o júri em ata divulgada na manhã de terça-feira (16).
O escritório nasceu em 1987 na cidade de Bordeaux e está sediado em Paris desde 1999, quando venceu o concurso nacional para a transformação do Palais de Tokyo, centro de arte contemporânea, na capital francesa.
Segundo a nota apresentada pelo Pritzker, ele foi selecionado por sua “abordagem crítica da arquitetura que encarna a generosidade do espaço, das ideias, dos usos, da economia de meios, de materiais, de formatos e formas”.
Os projetos da dupla costumam abraçar materiais banais, de catálogo, comprados em qualquer loja de material de construção francesa. Muitos deles buscam ainda atualizar estruturas obsoletas do século 20.
Foi o caso de uma de suas empreitadas mais emblemáticas, de quatro conjuntos habitacionais modernistas em periferias de grandes cidades que eles assinaram nos anos 2010 ao lado do arquiteto Frédéric Druot.
Localizados ao norte de Paris e em Grand Parc, em Bordeaux, os edifícios receberam esqueletos externos de modo a ampliar a área de cada apartamento e deixar mais luz entrar. A estratégia ainda permitiu que nenhum morador tivesse que sair do local enquanto as reformas aconteciam.





A escolha de Lacaton & Vassal surpreendeu as bolsas de apostas que tinham como francos favoritos os arquitetos negros Diébédo Francis Kéré, de Burkina Faso, e David Adjaye, de nacionalidade britânica e ganesa. Até mesmo um prêmio póstumo para Lina Bo Bardi foi aventado na última semana na esteira do Leão de Ouro pelo conjunto da obra concedido a ela pela Bienal de Veneza.
O júri foi comandado pelo arquiteto chileno Alejandro Aravena, Pritzker de 2016, o curador Barry Bergdoll, a arquiteta japonesa Kazuyo Sejima, o embaixador brasileiro André Correa do Lago, entre outros.
Com a escolha de Lacaton & Vassal, completa-se uma década sem a vitória de um chamado ""starchitect"", como são conhecidos autores de megaestruturas espalhafatosas, no Pritzker.
Recurso exclusivo para assinantes

assine
ou
faça login

Assinantes podem liberar 5 acessos por dia para conteúdos da Folha
Assinantes podem liberar 5 acessos por dia para conteúdos da Folha
Assinantes podem liberar 5 acessos por dia para conteúdos da Folha

      Você já conhece as vantagens de ser assinante da Folha?
      Além de ter acesso a reportagens e colunas, você conta com newsletters exclusivas (conheça aqui).
      Também pode baixar nosso aplicativo gratuito na Apple Store ou na Google Play para receber alertas das principais notícias do dia.
      A sua assinatura nos ajuda a fazer um jornalismo independente e de qualidade. Obrigado!
    

      Mais de 180 reportagens e análises publicadas a cada dia. Um time com mais de 120 colunistas. Um jornalismo profissional que fiscaliza o poder público, veicula notícias proveitosas e inspiradoras, faz contraponto à intolerância das redes sociais e traça uma linha clara entre verdade e mentira. Quanto custa ajudar a produzir esse conteúdo?
    

Os comentários não representam a opinião do jornal; a responsabilidade é do autor da mensagem.

Carregando...

            Queda foi de 98% para 85% nas últimas duas semanas, e instituições já retomam as cirurgias eletivas
          

            Magistrado do DF diz que Judiciário não pode obrigar Executivo a adotar via específica contra a pandemia
          

            Benefícios, no entanto, são maiores que riscos e agência regulatória recomenda o uso; comitê de vacinação orienta que seja ofertada outra vacina para menores de 30 anos
          

Copyright Folha de S.Paulo. Todos os direitos reservados. É proibida a reprodução do conteúdo desta página em qualquer meio de comunicação, eletrônico ou impresso, sem autorização escrita da Folhapress.

Cadastro realizado com sucesso!
Por favor, tente mais tarde!
"
6;Pritzker, o Nobel de arquitetura, premia Lacaton & Vassal, do Palais de Tokyo;Trabalho da dupla Anne Lacaton e Jean Philippe Vassal;"0
O escritório francês Lacaton & Vassal foi anunciado como o vencedor do prêmio Pritzker de 2021, o Nobel da arquitetura. O trabalho da dupla Anne Lacaton e Jean Philippe Vassal ""reflete o espírito democrático da arquitetura"", afirmou o júri em ata d... [523 chars]";https://www.jcnet.com.br/noticias/cultura/conexao_biz/2021/03/753030-pritzker--o-nobel-de-arquitetura--premia--lacaton---vassal--do-palais-de-tokyo.html;https://www.jcnet.com.br/_midias/jpg/2021/03/16/anne-4002469.jpg;2021-03-07T03:00:00Z;JCNET - Jornal da Cidade de Bauru;"

Aries
Touro
Gêmeos
Câncer
Leão
Virgem
Libra
Escorpião
Sagitário
Capricórnio
Aquário
Peixes
por FolhaPress


O escritório francês Lacaton & Vassal foi anunciado como o vencedor do prêmio Pritzker de 2021, o Nobel da arquitetura. O trabalho da dupla Anne Lacaton e Jean Philippe Vassal ""reflete o espírito democrático da arquitetura"", afirmou o júri em ata divulgada na manhã de terça-feira (16).
Projetos da dupla costumam abraçar materiais banais
O escritório nasceu em 1987, em Bordeaux, e está sediado em Paris desde 1999. Segundo a nota apresentada pelo Pritzker, ele foi selecionado por sua ""abordagem crítica da arquitetura que encarna a generosidade do espaço, das ideias, dos usos, da economia de meios, de materiais, de formatos e formas"". Os projetos da dupla costumam abraçar materiais banais, de catálogo, comprados em qualquer loja de material de construção francesa.   
Projetos da dupla costumam abraçar materiais banais
O escritório nasceu em 1987, em Bordeaux, e está sediado em Paris desde 1999. Segundo a nota apresentada pelo Pritzker, ele foi selecionado por sua ""abordagem crítica da arquitetura que encarna a generosidade do espaço, das ideias, dos usos, da economia de meios, de materiais, de formatos e formas"". Os projetos da dupla costumam abraçar materiais banais, de catálogo, comprados em qualquer loja de material de construção francesa.   
O escritório nasceu em 1987, em Bordeaux, e está sediado em Paris desde 1999. Segundo a nota apresentada pelo Pritzker, ele foi selecionado por sua ""abordagem crítica da arquitetura que encarna a generosidade do espaço, das ideias, dos usos, da economia de meios, de materiais, de formatos e formas"". Os projetos da dupla costumam abraçar materiais banais, de catálogo, comprados em qualquer loja de material de construção francesa. 
Associados a:
Baixe o App:
© Copyright 2021 Jornal da Cidade Bauru Ltda.-   Política de Privacidade É proibida a reprodução do conteúdo desta página em qualquer meio de comunicação, eletrônico ou impresso, sem autorização escrita do JC.
"
7;Comitê Organizador diz que Olimpíada deve receber número limitado de torcedores;Foto: ©Tokyo 2020 A presença ou não de torcedores nos Jogos Olímpicos de Tóquio segue sendo uma das maiores incógnitas sobre a realização do evento em 2021;"Foto: ©Tokyo 2020
A presença ou não de torcedores nos Jogos Olímpicos de Tóquio segue sendo uma das maiores incógnitas sobre a realização do evento em 2021. Com o aumento de casos de coronavírus e morte pela doença em diversos países e sem a previsão... [1726 chars]";https://cidadeverde.com/noticias/342423/comite-organizador-diz-que-olimpiada-deve-receber-numero-limitado-de-torcedores;https://cidadeverde.com/assets/uploads/noticias/456ce1c51fd8423affb1a5502168fd32.jpg;2021-02-28T16:00:00Z;Cidadeverde.com;NA
8;CEO da Olimpíada de Tóquio não descarta Jogos com portões fechados;Foto: ©Tokyo 2020 O CEO da Olimpíada de Tóquio 2020, Toshiro Muto, não descartou que o evento, previsto para julho, seja disputado sem a presença de público nos locais dos Jogos. A capital do Japão vive em estado de emergência por conta do coronavírus;"Foto: ©Tokyo 2020
O CEO da Olimpíada de Tóquio 2020, Toshiro Muto, não descartou que o evento, previsto para julho, seja disputado sem a presença de público nos locais dos Jogos. A capital do Japão vive em estado de emergência por conta do coronavíru... [801 chars]";https://cidadeverde.com/noticias/340112/ceo-da-olimpiada-de-toquio-nao-descarta-jogos-com-portoes-fechados;https://cidadeverde.com/assets/uploads/noticias/19b7d1fd52471ed70848cb9d1242522e.jpg;2021-01-20T18:04:00Z;Cidadeverde.com;NA
